Sym,Name,1/2/2009 (Open),Last,Change,Percent,High,Low,Volume,Time,,
VLO,Valero Energy Corp,,47.73,0.49,1.04%,48.42,46.88,9573500,"Friday, July 8, 2016",,
VMC,Vulcan Materials Company,,123.61,1.8,1.48%,124.28,122.14,1323800,"Friday, July 8, 2016",,
VNO,Vornado Realty Trust,,100.46,2.58,2.64%,100.65,98.69,1308100,"Friday, July 8, 2016",,
VRSK,Verisk Analytics Inc,,83.4,1.55,1.89%,83.4,82.07,659900,"Friday, July 8, 2016",,
VRSN,Verisign Inc,,85.6,2.2,2.64%,85.83,83.6,1320000,"Friday, July 8, 2016",,
VRTX,Vertex Pharmaceutic,,88.96,-1.09,-1.21%,90.43,88.65,1794200,"Friday, July 8, 2016",,
VTR,Ventas Inc,,72.63,0.48,0.67%,72.97,72,2635200,"Friday, July 8, 2016",,
VZ,Verizon Communications Inc,,55.9,0.52,0.94%,56.03,55.01,15946101,"Friday, July 8, 2016",,
WAT,Waters Corp,,146.53,4.06,2.85%,146.96,143.61,485400,"Friday, July 8, 2016",,
WBA,Walgreens Boots Alliance,,81.8,1.3,1.61%,81.8,80.63,5973400,"Friday, July 8, 2016",,
WDC,Western Digital Cp,,49.35,1.69,3.55%,49.42,47.51,7267200,"Friday, July 8, 2016",,
WEC,Wisconsin Energy Corp,,65.03,0.65,1.01%,65.05,63.52,2005000,"Friday, July 8, 2016",,
WFC,Wells Fargo & Company,,47.79,0.99,2.12%,47.92,47.45,19775602,"Friday, July 8, 2016",,
WFM,Whole Foods Market,,33.58,0.3,0.90%,33.86,33.42,4416000,"Friday, July 8, 2016",,
WHR,Whirlpool Corp,,171.38,3.5,2.08%,172.66,168.54,721300,"Friday, July 8, 2016",,
WLTW,Willis Towers Wts Cm,,125.06,0.62,0.50%,126.04,124.6,692700,"Friday, July 8, 2016",,
WM,Waste Management,,67.61,0.32,0.48%,67.97,67.35,2039100,"Friday, July 8, 2016",,
WMB,Williams Companies,,20.99,0.64,3.14%,21.12,20.44,7719500,"Friday, July 8, 2016",,
WMT,Wal-Mart Stores,,73.84,0.31,0.42%,73.85,73.24,9127300,"Friday, July 8, 2016",,
WRK,Westrock Company Common Stock W,,38.55,1.39,3.74%,38.64,37.71,1575700,"Friday, July 8, 2016",,
WU,Western Union Company,,19.57,0.57,3.00%,19.58,19.15,3248800,"Friday, July 8, 2016",,
WY,Weyerhaeuser Company,,30.67,0.53,1.76%,30.89,30.34,5302700,"Friday, July 8, 2016",,
WYN,Wyndham Worldwide Corp,,72.35,1.34,1.89%,72.47,71.56,887700,"Friday, July 8, 2016",,
WYNN,Wynn Resorts Limited,,89.75,0.79,0.89%,90.74,89.2,2006400,"Friday, July 8, 2016",,
XEC,Cimarex Energy Co,,118.43,3.65,3.18%,119.12,115.25,953900,"Friday, July 8, 2016",,
XEL,Xcel Energy Inc,,44.59,0.27,0.61%,44.61,43.68,4825900,"Friday, July 8, 2016",,
XL,XL Company Switzerland Gmbh,,33.01,0.39,1.20%,33.13,32.83,1925100,"Friday, July 8, 2016",,
XLNX,Xilinx Inc,,46.97,1.26,2.76%,46.99,45.9,1770400,"Friday, July 8, 2016",,
XOM,Exxon Mobil Corp,,93.54,0.58,0.62%,93.78,92.92,9807600,"Friday, July 8, 2016",,
XRAY,Dentsply Sirona Inc,,63.39,0.89,1.42%,63.44,62.56,1428100,"Friday, July 8, 2016",,
XRX,Xerox Corp,,9.54,0.16,1.71%,9.6,9.46,4601400,"Friday, July 8, 2016",,
XYL,Xylem Inc. Common Stock New Whe,,46.41,0.78,1.71%,46.5,45.93,1109000,"Friday, July 8, 2016",,
YHOO,Yahoo! Inc,,37.74,0.22,0.59%,37.84,37.06,8784700,"Friday, July 8, 2016",,
YUM,Yum! Brands,,85.76,1.45,1.72%,86.4,84.86,4040100,"Friday, July 8, 2016",,
ZBH,Zimmer Biomet Holdings,,124.89,2.87,2.35%,124.98,121.89,1370300,"Friday, July 8, 2016",,
ZION,Zions Bancorporation,,24.74,0.33,1.35%,25.12,24.55,4748800,"Friday, July 8, 2016",,
ZTS,Zoetis Inc. Class A Common Stoc,,48.5,0.81,1.70%,48.61,47.79,2851900,"Friday, July 8, 2016",,
