Sym,Name,1/2/2009 (Open),Last,Change,Percent,High,Low,Volume,Time,,
CXO,Concho Resources Inc,22.87,118.39,2.56,2.21%,119.12,115.58,1245500,"Friday, July 8, 2016",,417.67%
D,Dominion Resources,35.93,78.19,0.72,0.93%,78.2,76.54,2259100,"Friday, July 8, 2016",,117.62%
DAL,Delta Air Lines Inc,11.31,37.37,1,2.75%,37.75,36.86,12620899,"Friday, July 8, 2016",,230.42%
DD,E.I. Du Pont De Nemours and Company,25.42,63.69,1.77,2.86%,64.09,61.79,6361100,"Friday, July 8, 2016",,150.55%
DE,Deere & Company,38.74,80.97,1.6,2.02%,81.09,80,1974900,"Friday, July 8, 2016",,109.01%
DFS,Discover Financial Services,9.69,54.98,1.76,3.31%,55.09,54.04,3003000,"Friday, July 8, 2016",,467.39%
DG,Dollar General Corp,,94.32,0.54,0.58%,94.48,93.67,1660400,"Friday, July 8, 2016",,#DIV/0!
DGX,Quest Diagnostics Inc,52.47,82.23,1,1.23%,82.42,81.4,1516600,"Friday, July 8, 2016",,56.72%
DHI,D.R. Horton,7.1,33.82,0.99,3.02%,33.97,33.11,4711900,"Friday, July 8, 2016",,376.34%
DHR,Danaher Corp,56.56,80.86,0.16,0.20%,81.28,80.49,5096200,"Friday, July 8, 2016",,42.96%
DIS,Walt Disney Company,22.76,99.62,1.21,1.23%,99.85,98.77,6045600,"Friday, July 8, 2016",,337.70%
DISCA,Discovery Comm A,14.13,25.62,0.21,0.83%,25.81,25.48,3462100,"Friday, July 8, 2016",,81.32%
DISCK,Discovery Comm Inc,13.27,24.44,0.21,0.87%,24.63,24.29,1878200,"Friday, July 8, 2016",,84.17%
DLPH,Delphi Automotive Plc,,64.85,2.16,3.45%,65.13,63.56,2436600,"Friday, July 8, 2016",,#DIV/0!
DLR,Digital Realty Trust,33.19,110.24,1.2,1.10%,110.75,109.42,1358900,"Friday, July 8, 2016",,232.15%
DLTR,Dollar Tree Inc,41.9,95.08,0.45,0.48%,96,94.75,2078900,"Friday, July 8, 2016",,126.92%
DNB,Dun & Bradstreet Corp,77.4,123.82,0.72,0.58%,125.39,123.65,247400,"Friday, July 8, 2016",,59.97%
DO,Diamond Offshore Drilling,60.2,24.5,0.48,2.00%,24.91,24.16,1486200,"Friday, July 8, 2016",,-59.30%
DOV,Dover Corp,33,70.34,1.61,2.34%,70.47,69.5,1850600,"Friday, July 8, 2016",,113.15%
DOW,Dow Chemical Company,15.18,49.4,1.2,2.49%,49.61,48.08,9438800,"Friday, July 8, 2016",,225.43%
DPS,Dr Pepper Snapple Group Inc,16.34,97.13,0.12,0.12%,97.43,96.52,822400,"Friday, July 8, 2016",,494.43%
DRI,Darden Restaurants,28.49,62.03,-0.04,-0.06%,62.69,61.85,2176900,"Friday, July 8, 2016",,117.73%
DTE,Dte Energy Company,36.13,99.14,0.95,0.97%,99.17,97.02,841800,"Friday, July 8, 2016",,174.40%
DUK,Duke Energy Corp,15.05,86.01,0.72,0.84%,86.06,84.22,2809900,"Friday, July 8, 2016",,471.50%
DVA,Davita Healthcare Partners Inc,49.7,78.07,1.15,1.50%,78.21,77.27,743800,"Friday, July 8, 2016",,57.08%
DVN,Devon Energy Corp,65.94,37.58,0.77,2.09%,37.91,36.64,5699700,"Friday, July 8, 2016",,-43.01%
EA,Electronic Arts Inc,16.05,78.26,1.64,2.14%,78.5,77.01,3263100,"Friday, July 8, 2016",,387.60%
EBAY,Ebay Inc,14.03,24.61,0.68,2.84%,24.66,23.95,7480300,"Friday, July 8, 2016",,75.41%
ECL,Ecolab Inc,35.7,119.2,1.61,1.37%,119.62,118.4,1384900,"Friday, July 8, 2016",,233.89%
ED,Consolidated Edison Company of New York,39,80.38,0.39,0.49%,80.42,79.05,2334500,"Friday, July 8, 2016",,106.10%
EFX,Equifax Inc,27.03,132.24,1.83,1.40%,132.67,130.81,744000,"Friday, July 8, 2016",,389.23%
